Organisation,Date,Open Repositories,Top Language,Top License,URL
CDU-data-science-team,2019-03-08,1,R,GNU General Public License v3.0,https://github.com/CDU-data-science-team
CDU-data-science-team,2020-05-04,2,R,MIT License,https://github.com/CDU-data-science-team
CDU-data-science-team,2020-09-10,3,R,MIT License,https://github.com/CDU-data-science-team
CDU-data-science-team,2020-10-16,4,R,MIT License,https://github.com/CDU-data-science-team
CDU-data-science-team,2020-11-23,5,R,MIT License,https://github.com/CDU-data-science-team
CDU-data-science-team,2020-11-27,7,R,MIT License,https://github.com/CDU-data-science-team
CDU-data-science-team,2020-11-27,7,R,MIT License,https://github.com/CDU-data-science-team
CDU-data-science-team,2020-11-27,7,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2020-11-27,7,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2020-12-12,8,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-01-14,9,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-02-13,10,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-03-04,11,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-03-10,12,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-03-16,13,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-03-23,16,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-03-23,16,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-03-23,16,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-03-23,16,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-03-23,16,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-03-23,16,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-03-23,16,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-03-23,16,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-03-23,16,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-03-29,17,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-05-19,18,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-05-28,19,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-06-28,20,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-07-14,21,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-08-02,22,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-10-11,23,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-10-14,24,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2021-12-06,25,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2022-01-24,26,R,Other,https://github.com/CDU-data-science-team
CDU-data-science-team,2022-05-03,27,R,Other,https://github.com/CDU-data-science-team
